股票代码,分类,出现次数
000001.SZ,红利,1
000021.SZ,半导体,54
000021.SZ,半导体&nbsp;,1
000060.SZ,有色,4
000062.SZ,半导体,4
000063.SZ,消费电子,61
000066.SZ,半导体,28
000066.SZ,AI应用,1
000070.SZ,北美算力,7
000100.SZ,北美算力,32
000100.SZ,面板,3
000100.SZ,光伏,1
000155.SZ,有色,1
000333.SZ,红利,5
000333.SZ,白电,2
000333.SZ,老登红利,1
000338.SZ,北美算力,27
000338.SZ,燃气轮机,3
000426.SZ,有色,22
000426.SZ,有色&nbsp;,1
000533.SZ,电网设备,2
000539.SZ,电力,1
000547.SZ,商业航天,41
000559.SZ,AI应用,1
000559.SZ,机器人,1
000592.SZ,ͳһ,10
000601.SZ,算电协同,1
000603.SZ,有色,2
000617.SZ,跨境金融,12
000630.SZ,有色,11
000636.SZ,北美算力,42
000651.SZ,红利,1
000657.SZ,有色,73
000681.SZ,AI应用,4
000690.SZ,化工,1
000725.SZ,北美算力,44
000725.SZ,面板,4
000733.SZ,北美算力,1
000737.SZ,有色,3
000767.SZ,电力,1
000776.SZ,券商,1
000792.SZ,有色,28
000792.SZ,化工,1
000807.SZ,有色,7
000815.SZ,AI应用,9
000831.SZ,有色,6
000858.SZ,消费,5
000878.SZ,有色,3
000933.SZ,化工,1
000933.SZ,有色,1
000938.SZ,北美算力,54
000938.SZ,半导体,1
000960.SZ,有色,15
000967.SZ,机器人,8
000969.SZ,可控核聚变,2
000975.SZ,有色,1
000977.SZ,半导体,48
000977.SZ,北美算力,9
000981.SZ,重组,3
000988.SZ,北美算力,97
000988.SZ,半导体,1
001248.SZ,新能源,7
001267.SZ,北美算力,8
001280.SZ,有色,1
001309.SZ,半导体,80
001309.SZ,半导体&nbsp;,1
001309.SZ,商业航天,1
001330.SZ,AI应用,1
001393.SZ,新能源,1
001399.SZ,北美算力,5
001399.SZ,半导体,1
001896.SZ,电力,14
001896.SZ,算电协同,4
001896.SZ,新能源,1
002001.SZ,ҩ,1
002008.SZ,北美算力,72
002015.SZ,算电协同,10
002015.SZ,电力,9
002015.SZ,新能源,4
002025.SZ,北美算力,2
002028.SZ,电网设备,5
002031.SZ,机器人,1
002044.SZ,AI应用,1
002049.SZ,半导体,8
002049.SZ,半导体&nbsp;,1
002050.SZ,机器人,53
002050.SZ,AI应用,1
002074.SZ,新能源,1
002080.SZ,北美算力,7
002080.SZ,化工,1
002081.SZ,商业航天,1
002081.SZ,半导体,1
002082.SZ,ҽҩ,1
002115.SZ,商业航天,1
002129.SZ,商业航天,4
002129.SZ,光伏,2
002129.SZ,北美算力,2
002129.SZ,新能源,1
002130.SZ,北美算力,5
002131.SZ,AI应用,28
002138.SZ,北美算力,3
002149.SZ,商业航天,34
002151.SZ,商业航天,2
002155.SZ,有色,9
002156.SZ,半导体,69
002156.SZ,半导体&nbsp;,1
002165.SZ,化工,1
002167.SZ,有色,1
002173.SZ,AI应用,1
002176.SZ,有色,4
002179.SZ,军工,1
002179.SZ,北美算力,1
